name,Readable_Labels,C,gamma,score
0vs1,airplane vs automobile,0.54,0.01,0.9
0vs2,airplane vs bird,0.58,0.01,0.84
0vs3,airplane vs cat,0.54,0.01,0.89
0vs4,airplane vs deer,0.54,0.01,0.89
0vs5,airplane vs dog,0.54,0.01,0.92
0vs6,airplane vs frog,0.56,0.01,0.93
0vs7,airplane vs horse,0.58,0.01,0.91
0vs8,airplane vs ship,0.58,0.01,0.8
0vs9,airplane vs truck,0.58,0.01,0.91
1vs2,automobile vs bird,0.56,0.01,0.93
1vs3,automobile vs cat,0.5,0.01,0.91
1vs4,automobile vs deer,0.58,0.01,0.93
1vs5,automobile vs dog,0.56,0.01,0.94
1vs6,automobile vs frog,0.56,0.01,0.93
1vs7,automobile vs horse,0.56,0.01,0.94
1vs8,automobile vs ship,0.58,0.01,0.87
1vs9,automobile vs truck,0.58,0.01,0.86
2vs3,bird vs cat,0.54,0.01,0.76
2vs4,bird vs deer,0.44,0.01,0.77
2vs5,bird vs dog,0.58,0.01,0.77
2vs6,bird vs frog,0.54,0.01,0.83
2vs7,bird vs horse,0.58,0.01,0.84
2vs8,bird vs ship,0.58,0.01,0.88
2vs9,bird vs truck,0.58,0.01,0.92
3vs4,cat vs deer,0.54,0.01,0.8
3vs5,cat vs dog,0.56,0.01,0.66
3vs6,cat vs frog,0.58,0.01,0.81
3vs7,cat vs horse,0.56,0.01,0.81
3vs8,cat vs ship,0.58,0.01,0.9
3vs9,cat vs truck,0.54,0.01,0.89
4vs5,deer vs dog,0.56,0.01,0.82
4vs6,deer vs frog,0.58,0.01,0.83
4vs7,deer vs horse,0.58,0.01,0.82
4vs8,deer vs ship,0.58,0.01,0.91
4vs9,deer vs truck,0.5,0.01,0.9
5vs6,dog vs frog,0.58,0.01,0.83
5vs7,dog vs horse,0.56,0.01,0.81
5vs8,dog vs ship,0.54,0.01,0.93
5vs9,dog vs truck,0.58,0.01,0.91
6vs7,frog vs horse,0.58,0.01,0.91
6vs8,frog vs ship,0.58,0.01,0.93
6vs9,frog vs truck,0.42,0.01,0.94
7vs8,horse vs ship,0.58,0.01,0.92
7vs9,horse vs truck,0.56,0.01,0.9
8vs9,ship vs truck,0.58,0.01,0.88
